Handle,Title,Body (HTML),Vendor,Product Category,Product Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Compare At Price,Image Src,Published,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status,Collection
roupão-noiva-veludo-pimenta-sexy,Roupão Noiva Veludo Pimenta Sexy,"<div class=""productDescription"">
 O
 <strong>
  Roupão
 </strong>
 é uma peça muito requintada, utilizada para o aquecimento do corpo e como complemento para o seu look, sendo colocado por cimas de pijamas, lingeries e fantasias. Esse modelo de Robe é ideal para você que está comemorando e planejando o tão sonhado casamento e, deseja algo confortável e memorável desse grande dia.
 <br/>
 <br/>
 Atrás do Roupão possui a Frase: Noiva.
 <br/>
 <br/>
 <strong>
  Tamanho:
 </strong>
 Único
 <br/>
 <h3>
  (Veste do 36 ao 44)
 </h3>
 <br/>
 <strong>
  Recomendações:
 </strong>
 <br/>
 - Lavar sempre à mão.
 <br/>
 - Utilizar sempre sabão/detergente neutro.
 <br/>
 - Não utilizar alvejante.
 <br/>
 - Não utilizar secadora.
 <br/>
 - Não lavar a seco.
 <br/>
 - Não passar a ferro.
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Roupão,Roupão,Variação,N/A,,,7005,15.00,,https://miess.vteximg.com.br/arquivos/ids/166162-1000-1000/8355_1.jpg?v=637180807143770000,TRUE,shopify,0,deny,manual,TRUE,TRUE,FALSE,,,active,Roupão
roupão-mãe-do-noivo-veludo-pimenta-sexy,Roupão Mãe do Noivo Veludo Pimenta Sexy,"<div class=""productDescription"">
 O
 <strong>
  Roupão
 </strong>
 é uma peça muito requintada, utilizada para o aquecimento do corpo e como complemento para o seu look, sendo colocado por cimas de pijamas, roupas, lingeries e fantasias. Esse modelo de Roupão é ideal para você que está comemorando o tão sonhado casamento de seu filho e deseja algo confortável e memorável para esse grande dia.
 <br/>
 <br/>
 Atrás do Roupão possui a Frase: Mãe do Noivo.
 <br/>
 <br/>
 <strong>
  Tamanho:
 </strong>
 Único
 <br/>
 <h3>
  (Veste do 36 ao 44)
 </h3>
 <br/>
 <strong>
  Recomendações:
 </strong>
 <br/>
 - Lavar sempre à mão.
 <br/>
 - Utilizar sempre sabão/detergente neutro.
 <br/>
 - Não utilizar alvejante.
 <br/>
 - Não utilizar secadora.
 <br/>
 - Não lavar a seco.
 <br/>
 - Não passar a ferro.
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Roupão,Roupão,Variação,N/A,,,7004,15.00,,https://miess.vteximg.com.br/arquivos/ids/166160-1000-1000/8353_1.jpg?v=637180807063370000,TRUE,shopify,0,deny,manual,TRUE,TRUE,FALSE,,,active,Roupão
roupão-mãe-da-noiva-veludo-pimenta-sexy,Roupão Mãe da Noiva Veludo Pimenta Sexy,"<div class=""productDescription"">
 O
 <strong>
  Roupão
 </strong>
 é uma peça muito requintada, utilizada para o aquecimento do corpo e como complemento para o seu look, sendo colocado por cimas de pijamas, roupas, lingeries e fantasias. Esse modelo de Roupão é ideal para você que está comemorando o tão sonhado casamento de sua filha e deseja algo confortável e memorável para esse grande dia.
 <br/>
 <br/>
 Atrás do Roupão possui a Frase: Mãe da Noiva.
 <br/>
 <br/>
 <strong>
  Tamanho:
 </strong>
 Único
 <br/>
 <h3>
  (Veste do 36 ao 44)
 </h3>
 <br/>
 <strong>
  Recomendações:
 </strong>
 <br/>
 - Lavar sempre à mão.
 <br/>
 - Utilizar sempre sabão/detergente neutro.
 <br/>
 - Não utilizar alvejante.
 <br/>
 - Não utilizar secadora.
 <br/>
 - Não lavar a seco.
 <br/>
 - Não passar a ferro.
 <br/>
</div>
",,Saúde e beleza > Cuidados pessoais,Roupão,Roupão,Variação,N/A,,,7003,15.00,,https://miess.vteximg.com.br/arquivos/ids/166158-1000-1000/8354_1.jpg?v=637180807000830000,TRUE,shopify,0,deny,manual,TRUE,TRUE,FALSE,,,active,Roupão
